board,winner
XXXXXXXXXXXOOXXXXXOOOOOXOOXXOOOOOOOOXOOXXXXXOOOOOXOOXXXXOOOOOOXOOXXXXXOOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXX        ,0
  OOOOOOOOOOO XXXXXXXXXXXO           XO           XO           XX                                                                                                        ,1
XOXXXXXXXXXXXXOOOOOOOOOOOOXOXOOOOOOOOOOXOXXXXXXXXXXOXOXXXXXOOOOOOXOXXXOOOOOOOOXOXXXXXXXOOOOXOXXXXXOOOOOOXOXXXXXOOOOOOXOXXXXXXOOOOOOXXXXXXOOOOOOXXXXXXOOOOOOOXXXXX        ,0
XXXXXXXXXOOOOXXXXXXXXXOOOOXXXXXXXOXOOOOXXXXOOOOXOOOOXXOOOOOOXOOOOXXXOOOOOXOOOOXXXXOOOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXX        ,0
XXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXOOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXX        ,0
                XO           XO           XO           XO           XO           XO           XO           XO           XO           XO           XO           O         ,0
XXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXOOOOOOO XXXXXXXXXXXX              ,1
                      XO           XO           XO           XO           XO           XO           XO           XO           XO           XO           XO           O   ,0
XXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXOXOOOOOXXXOOOOXOOOOOXOOOOOOOOOOOOXXXXXXXXXOOOOXXXXXXOOOOOOOXXXXXOOOOOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXX        ,0
XXXXOOOOOOOOOXXXXXOOOOOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXX        ,0
                     XO           XO           XO           XO           XO           XO           XO           XO           XO           XO           XO           O    ,0
XXXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOXXXXOOXOOOOOOXXOOOOOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXX        ,0
XXXOOOOOOOOOOXXXOOOOOOOOO XXOXXXXXXXXX XXX                                                                                                                               ,1
OOXXXXXXXXXXXOOXXXXXXXXXXXOOXOOXXXXXXXXOOXOOOOOOOOOXOOXOOOOOXXXXXOOXOOOOXXXXXXOOXOOOOOOXXXXOOXOOOOOXXXXXOOXOOOOOOXXXXOXOOOOOOXXXXXOOOOOOOXXXXXXOOOOOOX                   ,0
XXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXOOOOOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXX        ,0
OOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXOOOXXXXOOOOOXOOOOOXXOOOOXOOOOXXXXOOOOOOOOXXXXXOOOOOO X                  ,0
OOOOOOOOOOXXXOOOOOOOOOOXXXOOOOXXXXXOXXXOOXXXXXXXOXXXOOOOXXXXXOXXXOOOOXXXXXOXXXOOOOXXXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOO                   ,0
XXXXXXXXXXXXOXXOOOOOOOOOXOXOOOOOOOOOOXOXXXXXXXXXOOXOXXXXXOOOOOOXOXXXOOOOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXX        ,0
OOOOOOOOOOOOXOXXXXXXXXXXOXOXXXXXXXXXXOXOOOOOOOOOXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOOOOXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOO                   ,0
XXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXOXOOOOOOOXXXXXXXXXXXXOXXXXXXOOOOOOOXXXXOOOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXX        ,0
